mktime,interests,profit,value,daily_value,all_profit,close_profit,prosition_profit,settle_available_cash,position_cost,fee,retrace,value_chg,log_chg,last_profit,max_profit
20160105,401455.42,1455.42,1.0,1.0,1455.42,0.0,1612.65,399842.76,91139.11,157.24,0.36,0.0036,0.0036,0.0,0.0
20160106,407832.97,6377.55,1.02,1.02,7832.97,5425.15,1586.23,404791.32,200202.21,633.83,1.59,0.0159,0.0158,1455.42,1455.42
20160107,410219.27,2386.3,1.03,1.01,10219.27,6964.65,-3799.27,406185.58,78924.34,779.07,0.59,0.0059,0.0058,7832.97,7832.97
20160108,406973.49,-3245.79,1.02,0.99,6973.49,-2911.4,93.26,396660.96,128496.64,427.64,-0.79,-0.0079,-0.0079,10219.27,10219.27
20160111,403973.74,-2999.75,1.01,0.99,3973.74,826.12,-3185.66,400185.91,106468.44,640.21,-1.52,-0.0074,-0.0074,6973.49,10219.27
20160112,395123.71,-8850.02,0.99,0.98,-4876.29,-7087.77,-1173.01,392322.99,133301.89,589.24,-3.68,-0.0219,-0.0222,3973.74,10219.27
20160113,388271.39,-6852.32,0.97,0.98,-11728.61,-4066.45,-2177.55,395325.23,137678.94,608.32,-5.35,-0.0173,-0.0175,-4876.29,10219.27
20160114,390449.14,2177.75,0.98,1.01,-9550.86,-498.28,3439.75,398738.0,127385.42,763.72,-4.82,0.0056,0.0056,-11728.61,10219.27
20160115,390080.82,-368.32,0.98,1.0,-9919.18,2726.01,-2533.98,402165.66,96578.71,560.35,-4.91,-0.0009,-0.0009,-9550.86,10219.27
20160118,387105.22,-2975.6,0.97,0.99,-12894.78,-3349.82,776.53,396247.87,71868.32,402.31,-5.63,-0.0076,-0.0077,-9919.18,10219.27
20160119,391883.63,4778.42,0.98,1.01,-8116.37,1988.29,3255.59,401522.83,164045.12,465.46,-4.47,0.0123,0.0123,-12894.78,10219.27
20160120,397600.68,5717.04,0.99,1.01,-2399.32,7030.86,-876.8,406593.85,87344.26,437.01,-3.08,0.0146,0.0145,-8116.37,10219.27
20160121,392016.58,-5584.1,0.98,0.99,-7983.42,-2789.65,-2400.93,396816.83,77456.4,393.52,-4.44,-0.014,-0.0141,-2399.32,10219.27
20160122,390445.43,-1571.15,0.98,1.0,-9554.57,-1694.24,487.1,397941.75,95681.7,364.01,-4.82,-0.004,-0.004,-7983.42,10219.27
20160125,393282.37,2836.93,0.98,1.01,-6717.63,2428.53,762.44,402074.5,142772.63,354.03,-4.13,0.0073,0.0072,-9554.57,10219.27
20160126,385310.75,-7971.61,0.96,0.98,-14689.25,-5479.04,-1895.97,393924.36,54693.59,596.6,-6.07,-0.0203,-0.0205,-6717.63,10219.27
20160127,382960.68,-2350.07,0.96,0.99,-17039.32,-3519.0,1481.95,396167.98,62729.56,313.02,-6.64,-0.0061,-0.0061,-14689.25,10219.27
20160128,379276.44,-3684.24,0.95,0.99,-20723.56,-846.88,-2434.39,398750.15,96519.69,402.97,-7.54,-0.0096,-0.0097,-17039.32,10219.27
20160129,380235.22,958.77,0.95,1.0,-19764.78,570.22,769.17,400189.61,36402.12,380.61,-7.31,0.0025,0.0025,-20723.56,10219.27
20160201,380353.77,118.56,0.95,1.0,-19646.23,139.45,287.67,399830.89,96774.92,308.56,-7.28,0.0003,0.0003,-19764.78,10219.27
20160202,383660.34,3306.57,0.96,1.01,-16339.66,1516.26,2169.39,401137.18,102768.38,379.08,-6.47,0.0087,0.0087,-19646.23,10219.27
20160203,386071.54,2411.19,0.97,1.01,-13928.46,1433.08,1297.73,401113.46,88488.36,319.62,-5.89,0.0063,0.0063,-16339.66,10219.27
20160204,391621.42,5549.88,0.98,1.01,-8378.58,4729.75,1194.28,404355.61,78980.36,374.14,-4.53,0.0144,0.0143,-13928.46,10219.27
20160205,388528.04,-3093.38,0.97,0.99,-11471.96,352.27,-3013.31,399919.94,118784.71,432.33,-5.29,-0.0079,-0.0079,-8378.58,10219.27
20160215,386947.26,-1580.78,0.97,1.0,-13052.74,-2784.29,1712.79,396706.43,49896.97,509.28,-5.67,-0.0041,-0.0041,-11471.96,10219.27
20160216,390925.03,3977.77,0.98,1.01,-9074.97,2978.88,1325.22,402652.55,105703.21,326.33,-4.7,0.0103,0.0102,-13052.74,10219.27
20160217,394235.48,3310.44,0.99,1.01,-5764.52,2430.31,1175.35,402135.09,62110.62,295.22,-3.9,0.0085,0.0084,-9074.97,10219.27
20160218,396564.47,2328.99,0.99,1.01,-3435.53,2052.6,548.52,401780.48,101386.29,272.12,-3.33,0.0059,0.0059,-5764.52,10219.27
20160219,396108.58,-455.89,0.99,1.0,-3891.42,266.96,-322.34,399866.45,151645.96,400.51,-3.44,-0.0011,-0.0012,-3435.53,10219.27
20160222,399894.89,3786.31,1.0,1.01,-105.11,2763.25,1461.8,402324.51,140515.98,438.74,-2.52,0.0096,0.0095,-3891.42,10219.27
20160223,404732.2,4837.32,1.01,1.01,4732.2,3624.9,1668.51,403168.81,97695.65,456.09,-1.34,0.0121,0.012,-105.11,10219.27
20160224,404624.28,-107.92,1.01,1.0,4624.28,546.09,-221.98,400114.06,106500.35,432.03,-1.36,-0.0003,-0.0003,4732.2,10219.27
20160225,400326.97,-4297.31,1.0,0.99,326.97,-1921.41,-1898.18,397600.87,75078.44,477.72,-2.41,-0.0106,-0.0107,4624.28,10219.27
20160226,396546.14,-3780.83,0.99,0.99,-3453.86,-3311.9,-75.12,396294.28,76583.59,393.82,-3.33,-0.0094,-0.0095,326.97,10219.27
20160229,391933.26,-4612.87,0.98,0.99,-8066.74,-3939.2,-301.93,395689.06,55574.63,371.74,-4.46,-0.0116,-0.0117,-3453.86,10219.27
20160301,390399.26,-1534.0,0.98,1.0,-9600.74,-2288.71,1090.14,397375.85,61651.92,335.44,-4.83,-0.0039,-0.0039,-8066.74,10219.27
20160302,394200.55,3801.3,0.99,1.01,-5799.45,2125.6,2072.25,401729.04,78066.86,396.56,-3.9,0.0097,0.0097,-9600.74,10219.27
20160303,395506.68,1306.12,0.99,1.0,-4493.32,2138.61,-601.13,401907.25,46819.72,231.36,-3.59,0.0033,0.0033,-5799.45,10219.27
20160304,391393.98,-4112.7,0.98,0.99,-8606.02,-2612.03,-1270.54,397157.84,57574.11,230.13,-4.59,-0.0104,-0.0105,-4493.32,10219.27
20160307,391345.93,-48.05,0.98,1.0,-8654.07,-438.36,687.33,399264.62,104008.12,297.02,-4.6,-0.0001,-0.0001,-8606.02,10219.27
20160308,389967.01,-1378.91,0.97,1.0,-10032.99,-2713.63,1813.17,396807.92,69083.27,478.45,-4.94,-0.0035,-0.0035,-8654.07,10219.27
