symbol,order_id,comb_offset,direction,order_type,price,fee,commission,stamp,transfer,cost,hold_vol_id,status,amount,create_time,min_volume
SZ000720,12196,0,1,5,4.5,5.0,5.0,0.0,0.0,450.3,0,3,1,20171128,100
SH603912,12197,0,1,5,29.16,6.0,5.0,0.0,1.0,2915.95,0,3,1,20171128,100
SH603809,12199,0,1,5,32.2,6.0,5.0,0.0,1.0,3220.04,0,3,1,20171128,100
SZ002079,12200,0,1,5,8.69,5.0,5.0,0.0,0.0,868.61,0,3,1,20171128,100
SZ300722,12201,0,1,5,39.31,5.9,5.9,0.0,0.0,3931.38,0,3,1,20171128,100
SZ300723,12202,0,1,5,37.33,5.6,5.6,0.0,0.0,3733.45,0,3,1,20171128,100
SZ300134,12203,0,1,5,14.97,5.0,5.0,0.0,0.0,1496.61,0,3,1,20171128,100
SH600558,12204,0,1,5,6.46,6.0,5.0,0.0,1.0,645.91,0,3,1,20171128,100
SZ002856,12205,0,1,5,44.75,6.71,6.71,0.0,0.0,4475.26,0,3,1,20171128,100
SZ300322,12206,0,1,5,12.79,5.0,5.0,0.0,0.0,1279.24,0,3,1,20171128,100
SH600881,12207,1,-1,5,5.63,6.56,5.0,0.56,1.0,562.86,11901,3,1,20171129,100
SZ002910,12208,1,-1,5,21.8,7.18,5.0,2.18,0.0,2179.56,12029,3,1,20171129,100
SH600386,12209,1,-1,5,5.51,6.55,5.0,0.55,1.0,550.64,12030,3,1,20171129,100
SZ000936,12210,1,-1,5,7.96,5.8,5.0,0.8,0.0,796.16,12042,3,1,20171129,100
SZ002910,12211,1,-1,5,22.14,7.21,5.0,2.21,0.0,2213.84,12059,3,1,20171129,100
SZ300727,12212,1,-1,5,14.0,6.4,5.0,1.4,0.0,1400.26,12062,3,1,20171129,100
SZ300706,12213,1,-1,5,84.49,21.12,12.67,8.45,0.0,8449.31,12064,3,1,20171129,100
SH603685,12214,1,-1,5,35.33,9.83,5.3,3.53,1.0,3532.97,12065,3,1,20171129,100
SZ002302,12215,1,-1,5,16.43,6.64,5.0,1.64,0.0,1643.13,12066,3,1,20171129,100
SZ002830,12216,1,-1,5,25.53,7.55,5.0,2.55,0.0,2553.43,12067,3,1,20171129,100
SZ002912,12217,1,-1,5,74.3,18.57,11.14,7.43,0.0,7429.54,12069,3,1,20171129,100
SZ002908,12218,1,-1,5,27.69,7.77,5.0,2.77,0.0,2768.51,12071,3,1,20171129,100
