symbol,order_id,comb_offset,direction,order_type,price,fee,commission,stamp,transfer,cost,hold_vol_id,status,amount,create_time,min_volume
SZ002840,6345,0,1,5,9.41,5.0,5.0,0.0,0.0,941.37,0,3,1,20170110,100
SH600210,6346,0,1,5,5.58,6.0,5.0,0.0,1.0,558.13,0,3,1,20170110,100
SH603032,6347,0,1,5,11.14,6.0,5.0,0.0,1.0,1114.0,0,3,1,20170110,100
SZ300591,6348,0,1,5,4.42,5.0,5.0,0.0,0.0,441.63,0,3,1,20170110,100
SH603886,6349,0,1,5,30.52,6.0,5.0,0.0,1.0,3052.16,0,3,1,20170110,100
SZ000953,6350,0,1,5,17.74,5.0,5.0,0.0,0.0,1774.14,0,3,1,20170110,100
SZ002287,6351,0,1,5,44.49,6.67,6.67,0.0,0.0,4448.96,0,3,1,20170110,100
SZ000722,6352,0,1,5,15.3,5.0,5.0,0.0,0.0,1530.18,0,3,1,20170110,100
SZ002832,6353,0,1,5,57.47,8.62,8.62,0.0,0.0,5747.12,0,3,1,20170110,100
SZ300583,6354,0,1,5,70.2,10.53,10.53,0.0,0.0,7020.0,0,3,1,20170110,100
SZ002679,6355,0,1,5,39.52,5.93,5.93,0.0,0.0,3951.7,0,3,1,20170110,100
SZ300585,6356,0,1,5,27.68,5.0,5.0,0.0,0.0,2768.0,0,3,1,20170110,100
SZ300581,6357,1,-1,5,104.72,26.18,15.71,10.47,0.0,10471.67,6139,3,1,20170111,100
SZ300427,6358,1,-1,5,21.79,7.18,5.0,2.18,0.0,2178.88,6165,3,1,20170111,100
SZ002817,6359,1,-1,5,66.82,16.71,10.02,6.68,0.0,6682.17,6166,3,1,20170111,100
SH600722,6360,1,-1,5,13.35,7.34,5.0,1.34,1.0,1335.29,6167,3,1,20170111,100
SZ300579,6361,1,-1,5,58.01,14.5,8.7,5.8,0.0,5801.38,6168,3,1,20170111,100
SZ000825,6362,1,-1,5,4.94,5.49,5.0,0.49,0.0,493.78,6169,3,1,20170111,100
SZ300588,6363,1,-1,5,10.03,6.0,5.0,1.0,0.0,1002.76,6170,3,1,20170111,100
SZ002832,6364,1,-1,5,55.75,13.94,8.36,5.57,0.0,5574.71,6171,3,1,20170111,100
SH603559,6365,1,-1,5,61.02,16.26,9.15,6.1,1.0,6102.29,6172,3,1,20170111,100
SH603559,6366,1,-1,5,55.84,14.96,8.38,5.58,1.0,5584.17,6172,3,1,20170111,100
SZ300573,6367,1,-1,5,47.37,11.84,7.11,4.74,0.0,4737.36,6173,3,1,20170111,100
SZ000791,6368,1,-1,5,14.71,6.47,5.0,1.47,0.0,1470.54,6174,3,1,20170111,100
SZ002189,6369,1,-1,5,25.05,7.51,5.0,2.51,0.0,2505.48,6175,3,1,20170111,100
