symbol,order_id,comb_offset,direction,order_type,price,fee,commission,stamp,transfer,cost,hold_vol_id,status,amount,create_time,min_volume
SH603966,8729,0,1,5,16.97,6.0,5.0,0.0,1.0,1697.0,0,3,1,20170208,100
SZ000985,8730,0,1,5,32.89,5.0,5.0,0.0,0.0,3289.46,0,3,1,20170208,100
SZ300052,8731,0,1,5,25.34,5.0,5.0,0.0,0.0,2534.47,0,3,1,20170208,100
SZ300598,8732,0,1,5,26.94,5.0,5.0,0.0,0.0,2694.0,0,3,1,20170208,100
SH603429,8733,0,1,5,38.27,6.74,5.74,0.0,1.0,3827.0,0,3,1,20170208,100
SZ000818,8734,0,1,5,13.12,5.0,5.0,0.0,0.0,1312.2,0,3,1,20170208,100
SZ300591,8735,0,1,5,20.27,5.0,5.0,0.0,0.0,2026.94,0,3,1,20170208,100
SZ002842,8736,0,1,5,38.76,5.81,5.81,0.0,0.0,3876.0,0,3,1,20170208,100
SZ300589,8737,0,1,5,31.5,5.0,5.0,0.0,0.0,3150.0,0,3,1,20170208,100
SZ300593,8738,0,1,5,32.46,5.0,5.0,0.0,0.0,3246.0,0,3,1,20170208,100
SZ300527,8739,0,1,5,24.27,5.0,5.0,0.0,0.0,2426.79,0,3,1,20170208,100
SZ000582,8740,0,1,5,16.73,5.0,5.0,0.0,0.0,1673.5,0,3,1,20170208,100
SZ002361,8741,0,1,5,8.5,5.0,5.0,0.0,0.0,850.2,0,3,1,20170208,100
SZ300596,8742,0,1,5,38.36,5.75,5.75,0.0,0.0,3836.0,0,3,1,20170208,100
SH603638,8743,0,1,5,20.33,6.0,5.0,0.0,1.0,2033.0,0,3,1,20170208,100
SH601375,8744,0,1,5,8.3,6.0,5.0,0.0,1.0,829.57,0,3,1,20170208,100
SZ002797,8745,0,1,5,29.16,5.0,5.0,0.0,0.0,2916.13,0,3,1,20170208,100
SH603690,8746,0,1,5,8.57,6.0,5.0,0.0,1.0,857.0,0,3,1,20170208,100
SH603039,8747,0,1,5,74.1,12.11,11.11,0.0,1.0,7410.0,0,3,1,20170208,100
SZ300592,8748,0,1,5,16.09,5.0,5.0,0.0,0.0,1609.0,0,3,1,20170208,100
SZ300461,8749,1,-1,5,65.59,16.4,9.84,6.56,0.0,6559.21,8549,3,1,20170209,100
SZ300466,8750,1,-1,5,37.97,9.49,5.7,3.8,0.0,3796.75,8557,3,1,20170209,100
SZ300603,8751,1,-1,5,10.17,6.02,5.0,1.02,0.0,1016.54,8616,3,1,20170209,100
SH603663,8752,1,-1,5,39.95,10.99,5.99,3.99,1.0,3994.81,8619,3,1,20170209,100
SZ300602,8753,1,-1,5,33.11,8.31,5.0,3.31,0.0,3311.44,8620,3,1,20170209,100
SZ300381,8754,1,-1,5,25.12,7.51,5.0,2.51,0.0,2511.81,8621,3,1,20170209,100
SZ000877,8755,1,-1,5,9.53,5.95,5.0,0.95,0.0,952.54,8622,3,1,20170209,100
SZ000672,8756,1,-1,5,12.25,6.23,5.0,1.23,0.0,1225.48,8627,3,1,20170209,100
