symbol,order_id,comb_offset,direction,order_type,price,fee,commission,stamp,transfer,cost,hold_vol_id,status,amount,create_time,min_volume
SZ002888,19492,0,1,5,28.22,5.0,5.0,0.0,0.0,2822.42,0,3,1,20170818,100
SZ002846,19493,0,1,5,28.92,5.0,5.0,0.0,0.0,2892.44,0,3,1,20170818,100
SZ300689,19494,0,1,5,40.38,6.06,6.06,0.0,0.0,4038.0,0,3,1,20170818,100
SZ000661,19495,0,1,5,136.53,20.48,20.48,0.0,0.0,13652.65,0,3,1,20170818,100
SZ002743,19496,0,1,5,16.23,5.0,5.0,0.0,0.0,1622.81,0,3,1,20170818,100
SZ000554,19497,0,1,5,10.06,5.0,5.0,0.0,0.0,1005.99,0,3,1,20170818,100
SZ300685,19498,0,1,5,62.68,9.4,9.4,0.0,0.0,6268.0,0,3,1,20170818,100
SZ002386,19499,0,1,5,11.76,5.0,5.0,0.0,0.0,1175.95,0,3,1,20170818,100
SZ300369,19500,0,1,5,10.86,5.0,5.0,0.0,0.0,1085.65,0,3,1,20170818,100
SH603721,19501,0,1,5,16.36,6.0,5.0,0.0,1.0,1636.0,0,3,1,20170818,100
SZ000927,19502,0,1,5,5.29,5.0,5.0,0.0,0.0,528.55,0,3,1,20170818,100
SZ002246,19503,0,1,5,16.87,5.0,5.0,0.0,0.0,1687.37,0,3,1,20170818,100
SH603603,19504,0,1,5,45.53,7.83,6.83,0.0,1.0,4553.26,0,3,1,20170818,100
SH600125,19505,0,1,5,12.15,6.0,5.0,0.0,1.0,1214.75,0,3,1,20170818,100
SZ300691,19506,0,1,5,37.02,5.55,5.55,0.0,0.0,3702.0,0,3,1,20170818,100
SZ300543,19507,0,1,5,39.46,5.92,5.92,0.0,0.0,3946.34,0,3,1,20170818,100
SH603129,19508,0,1,5,19.63,6.0,5.0,0.0,1.0,1963.0,0,3,1,20170818,100
SH600626,19509,0,1,5,9.87,6.0,5.0,0.0,1.0,986.53,0,3,1,20170818,100
SZ300686,19510,0,1,5,25.3,5.0,5.0,0.0,0.0,2529.77,0,3,1,20170818,100
SZ000931,19511,0,1,5,8.01,5.0,5.0,0.0,0.0,801.0,0,3,1,20170818,100
SZ002889,19512,0,1,5,30.84,5.0,5.0,0.0,0.0,3083.75,0,3,1,20170818,100
SH600578,19513,1,-1,5,4.57,6.46,5.0,0.46,1.0,457.5,18211,3,1,20170821,100
SZ002400,19514,1,-1,5,7.24,5.72,5.0,0.72,0.0,723.68,19278,3,1,20170821,100
SH603612,19515,1,-1,5,59.97,15.99,9.0,6.0,1.0,5997.44,19340,3,1,20170821,100
SZ002888,19516,1,-1,5,29.92,7.99,5.0,2.99,0.0,2991.77,19341,3,1,20170821,100
SZ002128,19517,1,-1,5,12.54,6.25,5.0,1.25,0.0,1254.16,19343,3,1,20170821,100
SZ002743,19518,1,-1,5,15.74,6.57,5.0,1.57,0.0,1574.13,19345,3,1,20170821,100
SZ300682,19519,1,-1,5,18.58,6.86,5.0,1.86,0.0,1858.44,19346,3,1,20170821,100
SZ002405,19520,1,-1,5,25.54,7.55,5.0,2.55,0.0,2554.42,19347,3,1,20170821,100
SH603880,19521,1,-1,5,28.1,8.81,5.0,2.81,1.0,2810.26,19348,3,1,20170821,100
SH603602,19522,1,-1,5,41.01,11.25,6.15,4.1,1.0,4100.54,19349,3,1,20170821,100
SZ300685,19523,1,-1,5,66.44,16.61,9.97,6.64,0.0,6644.08,19350,3,1,20170821,100
SH603776,19524,1,-1,5,45.08,12.27,6.76,4.51,1.0,4508.18,19351,3,1,20170821,100
SZ002386,19525,1,-1,5,12.47,6.25,5.0,1.25,0.0,1246.51,19352,3,1,20170821,100
SZ002542,19526,1,-1,5,11.85,6.19,5.0,1.19,0.0,1185.13,19353,3,1,20170821,100
SZ002890,19527,1,-1,5,36.22,9.05,5.43,3.62,0.0,3621.66,19354,3,1,20170821,100
SZ000688,19528,1,-1,5,10.49,6.05,5.0,1.05,0.0,1048.72,19355,3,1,20170821,100
SZ300543,19529,1,-1,5,38.28,9.57,5.74,3.83,0.0,3827.95,19357,3,1,20170821,100
SZ300678,19530,1,-1,5,45.22,11.31,6.78,4.52,0.0,4522.49,19358,3,1,20170821,100
SZ002175,19531,1,-1,5,11.14,6.11,5.0,1.11,0.0,1114.06,19359,3,1,20170821,100
SZ002892,19532,1,-1,5,29.49,7.95,5.0,2.95,0.0,2948.92,19360,3,1,20170821,100
SZ300675,19533,1,-1,5,23.8,7.38,5.0,2.38,0.0,2379.63,19361,3,1,20170821,100
SZ002889,19534,1,-1,5,32.69,8.27,5.0,3.27,0.0,3268.78,19362,3,1,20170821,100
