,available_cash,chg,interests,log_chg,mktime,profit,retrace,value
0,399898.92,0.0021,400847.36,-0.0021,20160105,847.36,0.2118,1.0021
1,403375.58,0.0114,405408.5,-0.0114,20160106,5408.5,1.1379,1.0135
2,403210.94,0.0045,407217.91,-0.0045,20160107,7217.91,0.4463,1.018
3,398562.14,-0.0025,406201.04,0.0025,20160108,6201.04,-0.2497,1.0155
4,401869.33,0.0012,406684.61,-0.0012,20160111,6684.61,-0.131,1.0167
5,395401.56,-0.0119,401857.01,0.0118,20160112,1857.01,-1.3165,1.0046
6,399170.14,-0.0035,400445.99,0.0035,20160113,445.99,-1.663,1.0011
7,398763.42,0.0006,400698.47,-0.0006,20160114,698.47,-1.601,1.0017
8,399074.25,-0.0038,399162.11,0.0038,20160115,-837.89,-1.9783,0.9979
9,398255.92,-0.0034,397793.79,0.0034,20160118,-2206.21,-2.3143,0.9945
10,400826.94,0.0062,400252.75,-0.0062,20160119,252.75,-1.7104,1.0006
11,402373.25,0.0062,402725.75,-0.0062,20160120,2725.75,-1.1031,1.0068
12,399084.24,-0.005,400710.21,0.005,20160121,710.21,-1.5981,1.0018
13,398695.9,-0.0024,399735.65,0.0024,20160122,-264.35,-1.8374,0.9993
14,400184.92,0.0009,400084.33,-0.0009,20160125,84.33,-1.7518,1.0002
15,396977.21,-0.0087,396584.61,0.0087,20160126,-3415.39,-2.6112,0.9915
16,398451.52,-0.0014,396026.27,0.0014,20160127,-3973.73,-2.7483,0.9901
17,398887.66,-0.0053,393928.88,0.0053,20160128,-6071.12,-3.2634,0.9848
18,399663.3,0.0009,394276.14,-0.0009,20160129,-5723.86,-3.1781,0.9857
19,400237.17,0.0009,394631.54,-0.0009,20160201,-5368.46,-3.0908,0.9866
20,399925.64,0.0024,395590.11,-0.0024,20160202,-4409.89,-2.8554,0.989
21,399694.81,0.0017,396248.24,-0.0017,20160203,-3751.76,-2.6938,0.9906
22,403673.59,0.0111,400648.69,-0.0112,20160204,648.69,-1.6132,1.0016
23,400259.24,-0.0023,399736.62,0.0023,20160205,-263.38,-1.8372,0.9993
24,398614.62,-0.0004,399562.55,0.0004,20160215,-437.45,-1.8799,0.9989
25,401858.99,0.0069,402319.01,-0.0069,20160216,2319.01,-1.203,1.0058
26,401301.6,0.0052,404407.93,-0.0052,20160217,4407.93,-0.69,1.011
27,401282.78,0.0041,406056.97,-0.0041,20160218,6056.97,-0.2851,1.0151
28,400046.07,-0.0,406045.88,0.0,20160219,6045.88,-0.2878,1.0151
29,401502.64,0.0074,409049.37,-0.0074,20160222,9049.37,0.4497,1.0226
30,401753.32,0.0063,411617.51,-0.0063,20160223,11617.51,0.6278,1.029
31,399463.05,-0.0007,411323.01,0.0007,20160224,11323.01,-0.0715,1.0283
32,399400.75,-0.0036,409826.32,0.0036,20160225,9826.32,-0.4352,1.0246
33,398136.79,-0.0039,408224.45,0.0039,20160226,8224.45,-0.8243,1.0206
34,398473.58,-0.0037,406723.97,0.0037,20160229,6723.97,-1.1889,1.0168
35,398725.19,-0.0014,406163.75,0.0014,20160301,6163.75,-1.325,1.0154
36,400896.58,0.0043,407898.93,-0.0043,20160302,7898.93,-0.9034,1.0197
37,400401.22,0.0004,408063.3,-0.0004,20160303,8063.3,-0.8635,1.0202
38,398247.96,-0.0054,405869.86,0.0054,20160304,5869.86,-1.3964,1.0147
39,399999.88,0.0011,406315.31,-0.0011,20160307,6315.31,-1.2881,1.0158
40,399336.98,0.0007,406598.55,-0.0007,20160308,6598.55,-1.2193,1.0165
41,399938.42,-0.0013,406055.53,0.0013,20160309,6055.53,-1.3512,1.0151
42,399268.44,-0.0025,405030.02,0.0025,20160310,5030.02,-1.6004,1.0126
43,399157.97,-0.0011,404593.45,0.0011,20160311,4593.45,-1.7065,1.0115
44,401549.39,0.0054,406777.12,-0.0054,20160314,6777.12,-1.1759,1.0169
45,401372.62,0.0031,408056.88,-0.0032,20160315,8056.88,-0.865,1.0201
46,399602.37,-0.0009,407691.37,0.0009,20160316,7691.37,-0.9538,1.0192
47,401030.69,0.006,410137.79,-0.006,20160317,10137.79,-0.3595,1.0253
48,402631.76,0.0078,413349.41,-0.0079,20160318,13349.41,0.4208,1.0334
49,400850.34,0.0045,415219.24,-0.0045,20160321,15219.24,0.4524,1.038
