symbol,trader_id,order_id,direction,price,comb_offset,cost,fee,commission,stamp,transfer,daily_profit,settle_price,amount,min_volume,create_time
SZ300462,123,135,1,38.86,0,3885.8,5.83,5.83,0.0,0.0,332.37,42.24,1,100,20160106
SH900938,580,594,1,0.53,0,53.21,6.0,5.0,0.0,1.0,-6.41,0.53,1,100,20160202
SZ000950,1203,1237,1,7.3,0,730.07,5.0,5.0,0.0,0.0,9.93,7.45,1,100,20160317
SZ002791,1842,1542,1,49.49,0,4949.19,7.42,7.42,0.0,0.0,44.39,50.01,1,100,20160429
SZ002791,1843,1622,1,49.49,0,4949.19,7.42,7.42,0.0,0.0,44.39,50.01,1,100,20160429
SZ002676,1849,1886,1,18.93,0,1893.13,5.0,5.0,0.0,0.0,18.87,19.17,1,100,20160429
SZ002148,1850,1887,1,18.49,0,1848.95,5.0,5.0,0.0,0.0,-12.95,18.41,1,100,20160429
SZ000791,1857,1895,1,10.7,0,1070.32,5.0,5.0,0.0,0.0,0.68,10.76,1,100,20160429
SZ300474,1861,1760,1,114.87,0,11486.54,17.23,17.23,0.0,0.0,26.23,115.3,1,100,20160503
SH603028,1862,1829,1,28.67,0,2866.71,6.0,5.0,0.0,1.0,40.29,29.13,1,100,20160503
SZ000881,1863,1899,1,19.65,0,1965.42,5.0,5.0,0.0,0.0,14.58,19.85,1,100,20160503
SZ002629,1864,1900,1,15.25,0,1525.26,5.0,5.0,0.0,0.0,19.74,15.5,1,100,20160503
SZ002788,1865,1902,1,60.38,0,6038.26,9.06,9.06,0.0,0.0,335.68,63.83,1,100,20160503
SH600538,1868,1905,1,11.41,0,1141.36,6.0,5.0,0.0,1.0,3.64,11.51,1,100,20160503
SZ002782,1886,1924,1,49.92,0,4991.99,7.49,7.49,0.0,0.0,-104.48,48.95,1,100,20160504
SZ000799,1887,1925,1,19.67,0,1967.0,5.0,5.0,0.0,0.0,-5.0,19.67,1,100,20160504
SH600839,1888,1926,1,4.13,0,413.09,6.0,5.0,0.0,1.0,-12.09,4.07,1,100,20160504
SZ300505,1889,1927,1,46.57,0,4656.51,6.98,6.98,0.0,0.0,88.51,47.52,1,100,20160504
